POSTE;DATE;RR;DRR;TM;FXY;DXY;UM
75114001;20080101;0,0;0;4,3;4,6;100;91
75114001;20080102;0,0;140;0,6;5,3;80;78
75114001;20080103;0,4;225;2,5;4,1;110;87
75114001;20080104;7,6;472;7,9;7,7;200;86
75114001;20080105;0,6;170;8,6;8,5;190;87
75114001;20080106;4,0;75;7,8;5,4;170;87
75114001;20080107;0,0;3;9,4;7,4;250;75
75114001;20080108;0,0;0;5,9;5,4;160;91
75114001;20080109;1,2;117;7,5;5,4;190;83
75114001;20080110;0,0;126;8,0;8,0;200;87
75114001;20080111;2,6;640;9,5;8,5;210;80
75114001;20080112;0,2;60;6,7;7,2;250;73
75114001;20080113;0,6;105;6,4;5,9;140;76
75114001;20080114;0,8;120;7,8;7,4;200;80
75114001;20080115;11,0;717;8,6;11,4;190;84
75114001;20080116;1,0;112;7,0;6,1;240;88
75114001;20080117;0,2;100;8,7;7,0;190;89
75114001;20080118;1,2;263;10,8;5,9;210;86
75114001;20080119;0,0;0;13,1;6,8;210;78
75114001;20080120;0,0;0;12,1;5,0;230;70
75114001;20080121;2,0;151;10,7;7,3;220;75
75114001;20080122;0,0;28;7,6;9,8;310;69
75114001;20080123;0,0;0;7,6;4,2;190;78
75114001;20080124;0,2;55;8,5;6,8;320;77
75114001;20080125;0,0;0;5,9;3,3;220;76
75114001;20080126;0,0;0;4,7;3,3;190;79
75114001;20080127;0,0;0;4,5;3,1;190;63
75114001;20080128;0,0;0;4,5;3,0;320;83
75114001;20080129;0,0;60;3,2;3,6;280;85
75114001;20080130;2,0;420;3,4;6,8;330;88
75114001;20080131;13,6;565;3,9;10,4;210;85
75114001;20080201;9,6;361;5,6;7,6;210;89
75114001;20080202;0,0;0;3,7;4,6;210;74
75114001;20080203;4,2;300;4,3;8,8;170;71
75114001;20080204;2,4;190;6,5;7,5;170;83
75114001;20080205;7,4;540;9,2;9,3;200;88
75114001;20080206;0,0;0;10,0;9,1;240;72
75114001;20080207;0,0;0;6,7;3,4;110;79
75114001;20080208;0,0;0;7,0;3,6;130;65
75114001;20080209;0,0;0;7,4;3,4;110;54
75114001;20080210;0,0;0;6,9;3,3;60;60
75114001;20080211;0,0;0;7,7;4,0;100;64
75114001;20080212;0,0;0;7,5;3,6;50;65
75114001;20080213;0,0;0;7,0;4,3;40;71
